id,"title","image_url","director","detail","open_date","created_at","updated_at"
1,"オオカミ少女と黒王子","http://image.eiga.k-img.com/images/movie/82939/poster2/200.jpg?1456105504","廣木隆一","八田鮎子の同名人気コミックを二階堂ふみ、山崎賢人の主演で実写映画化。恋愛経験ゼロにもかかわらず、見栄っ張りで友達と架空の彼氏との恋愛話を語る「オオカミ少女」の篠原エリカ。街で見かけたイケメンの盗撮写真を自分の彼氏だと偽り、友達をやりすごそうとするが、写真の男は女子から絶大な人気を集めている同級生・佐田恭也だった。エリカは事情を打ち明け、恭也に彼氏のフリをすることを承諾してもらうが、その代わりにエリカが飲んだ条件は恭也の「犬」となること。人当たりがよく人気者の恭也の本性は、評判とは真逆の、腹黒で超がつくドSの「黒王子」だったのだ。かくして、偽装カップルとなったエリカと恭也だったが……。監督は「ストロボ・エッジ」「娚の一生」など少女コミックの映画化を数多く手がけている廣木隆一。","2016年5月28日","2017-02-20 08:56:18","2017-02-20 08:56:18"
2,"ヒメアノ～ル","http://image.eiga.k-img.com/images/movie/82031/200x133.jpg?1458617968","吉田恵輔","「行け！稲中卓球部」「ヒミズ」の古谷実による同名コミックを、「V6」の森田剛主演で実写映画化。森田が、次々と殺人を重ねていく主人公の快楽殺人犯・森田正一役を演じ、「純喫茶磯辺」「銀の匙 Silver Spoon」などを手がけた吉田恵輔監督がメガホンをとった。平凡な毎日に焦りを感じながら、ビルの清掃のパートタイマーとして働いている岡田は、同僚の安藤から思いを寄せるカフェの店員ユカとの恋のキューピッド役を頼まれる。ユカが働くカフェで、高校時代に過酷ないじめに遭っていた同級生の森田正一と再会する岡田だったが、ユカから彼女が森田にストーキングをされている事実を知らされる。岡田役を濱田岳、ユカ役を佐津川愛美、安藤役をムロツヨシがそれぞれ演じる。","2016年5月28日","2017-02-20 08:56:18","2017-02-20 08:56:18"
3,"エンド・オブ・キングダム","http://image.eiga.k-img.com/images/movie/84396/poster2/200.jpg?1456105395","ババク・ナジャフィ","米大統領専属シークレットサービスとテロリストとの激しい攻防を、ジェラルド・バトラー主演で描いたアクションサスペンス「エンド・オブ・ホワイトハウス」の続編。物語の舞台を前作の米ホワイトハウスから、イギリスの首都ロンドンへと移し、テロリズムとの新たな戦いが描かれる。ホワイトハウス陥落の悪夢から2年。イギリスの首相が不可解な死を遂げ、ロンドンで行われる葬儀に各国首脳が出席することに。しかし、史上まれにみる厳戒態勢の中でも各国首脳を狙った同時多発テロが起こってしまう。米大統領と身辺を警護するシークレットサービスは、命からがらに危機から脱するのだが……。","2016年5月28日","2017-02-20 08:56:19","2017-02-20 08:56:19"
4,"素敵なサプライズ　ブリュッセルの奇妙な代理店","http://image.eiga.k-img.com/images/movie/83818/poster2/200.jpg?1452581497","マイケ・ファン・ディム","「キャラクター　孤独な人の肖像」で第70回アカデミー外国語映画賞を受賞したマイケ・ファン・ディムが監督と脚本を務め、オランダの大富豪が自殺ほう助を裏稼業とする謎の代理店を訪れたことから巻き起こる騒動を描いたコメディ作品。何不自由ない日々を送る大富豪のひとり息子ヤーコブは、楽しみのない人生に嫌気がさし、自殺を試みるが、常に邪魔が入り自殺できずにいた。たまたま拾ったマッチ箱に記された謎の「代理店」をベルギーまで訪ねると、その店は事故に見せかけて自殺をほう助するサービスを提供する旅行代理店だった。主人公のヤーコブ役を演じるのは「LOFT 完全なる嘘（トリック）」などに出演しているコメディ俳優イェルーン・ファン・コーニングスブリュッヘ。","2016年5月28日","2017-02-20 08:56:19","2017-02-20 08:56:19"
5,"手をつないでかえろうよ　シャングリラの向こうで","http://image.eiga.k-img.com/images/movie/83316/photo/704e52e243018fe7/320.jpg?1460515565","奈良橋陽子","2015年5月に他界した俳優・今井雅之が原作・脚本・演出・主演を務めた舞台を映画化。同じく今井による舞台を映画化した「WINDS OF GOD」の奈良橋陽子監督が、今井自らが手がけた脚本をもとにメガホンをとる。軽度の知的障害を持つ真人は、中学校で特殊学級に入り差別やいじめに遭いながらも、同じ障害を抱える咲楽と惹かれあっていく。やがて2人は結婚するが、真人は咲楽を守るために罪を犯してしまう。咲楽と行くはずだった新婚旅行を思い描くように1人旅に出た真人は、車で伊勢神宮を目指す途中で、ヒッチハイクしていた女性・麗子と出会う。主人公・真人役に川平慈英。","2016年5月28日","2017-02-20 08:56:20","2017-02-20 08:56:20"
6,"復活","http://image.eiga.k-img.com/images/movie/84404/photo/b1ea2006aea01769/320.jpg?1462845161","ケビン・レイノルズ","イエス・キリスト復活のエピソードを、「ウォーターワールド」「ロビン・フッド」のケビン・レイノルズ監督が映画化した歴史ドラマ。古代ローマ。処刑されたはずのイエス・キリストの遺体が消失した。メシア復活の噂と反乱の気運が高まりつつあることを危惧したローマ総督ピラトは、処刑を執行した百人隊長クラビアスに調査を命じる。クラビアスはイエスの弟子たちが遺体を隠したと考え、弟子たちの隠れ家に踏み込むが、そこで思いがけない人物に遭遇する。クラビアス役に「恋におちたシェイクスピア」のジョセフ・ファインズ。共演に「ハリー・ポッター」シリーズのトム・フェルトン。","2016年5月28日","2017-02-20 08:56:20","2017-02-20 08:56:20"
7,"あのひと","http://image.eiga.k-img.com/images/movie/82788/photo/e8e36657b9a98933/320.jpg?1460950312","山本一郎","「夫婦善哉」で知られる無頼派の作家・織田作之助が、太平洋戦争末期の昭和19年（1944年）に書いたとされ、2012年に大阪の中之島図書館で発見された映画脚本を映画化。「珈琲時光」「武士の一分」でなどプロデューサーを務めてきた山本一郎が初監督を務め、残された脚本を一字一句変えずに、独自の解釈でモノクロ＆スタンダードで映像化した。戦死した部隊長の遺児を育てる4人の帰還軍人たち。しかし、戦局の悪化とともに帰還軍人たちは軍需工場に働きに出ることになり、代わりに4人の女たちが遺児を預かることに。「小隊長」と呼ばれる遺児の少年を中心に、戦時下の奇妙な共同生活をユーモラスに描いた。","2016年5月28日","2017-02-20 08:56:20","2017-02-20 08:56:20"
8,"或る終焉","http://image.eiga.k-img.com/images/movie/83700/poster2/200.jpg?1456993166","マイケル・フランコ","「父の秘密」で高い評価を得たメキシコの新鋭マイケル・フランコが「海の上のピアニスト」のティム・ロスを主演に迎え、終末期の患者をケアする看護師の葛藤をサスペンスフルに描いたヒューマンドラマ。死期が迫った患者の看護師として働くデビッド。息子の死をきっかけに元妻や娘と疎遠になった彼は、患者の在宅看護とエクササイズに励むだけの寂しい日々を送っており、患者たちとの親密な関係が心の拠りどころとなっていた。そんなある日、デビッドは末期がん患者のマーサから、安楽死を手伝ってほしいと頼まれる。共演にキーファー・サザーランドの娘サラ・サザーランド。第68回カンヌ国際映画祭で脚本賞を受賞した。","2016年5月28日","2017-02-20 08:56:24","2017-02-20 08:56:24"
9,"CONFLICT 最大の抗争","http://image.eiga.k-img.com/images/movie/83914/photo/ef49227bafc3396f/320.jpg?1462161535","藤原健一","小沢仁志、哀川翔、白竜らVシネマや任侠映画界を支えてきたオールスターキャストで、ヤクザやマフィア、半グレ、政治家、警察を巻き込んだ一大抗争を描く。日本最大のヤクザ組織・天道会の傘下になる兵頭組の組長が殺害され、天道会若頭で鷲尾組組長の鷲尾一馬は、兵頭の殺しの背後に、元天道会若頭補佐で今は東京の半グレやアウトローを仕切る明神良成の存在を嗅ぎとる。そんな折、天道会5代目会長の勝重から、「東京カジノ計画」の利権争いの鍵を握る遠山凪という女性の身柄を押さえるよう命じられた鷲尾は、子分を連れて行動に出るが、そこで武装した若者たちに襲撃される。","2016年5月28日","2017-02-20 08:56:25","2017-02-20 08:56:25"
10,"燐寸少女　マッチショウジョ","http://image.eiga.k-img.com/images/movie/84204/photo/c71da94191642fcc/320.jpg?1461206311","内田浩","「SKE48」の佐藤すみれが映画単独初主演を飾り、「ヤングエース」連載の同名漫画を実写映画。心に闇を持った人々の前に、寿命と引き替えに人間の心に潜む妄想を具現化する「妄想燐寸（マッチ）」を持つ少女リンが現れる。恐る恐るマッチを擦った人々は、具現化する妄想にのめり込んでいく。しかし、欲望や嫉妬、嘘が渦巻く妄想を具現化した者たちは、思わぬ代償を払うことになる。謎の少女リンを佐藤が演じるほか、名古屋を中心に活動する人気グループ「BOYS AND MEN」の小林豊、本田剛文、アニメ「黒子のバスケ」の声優としても知られる小野賢章らが出演。","2016年5月28日","2017-02-20 08:56:26","2017-02-20 08:56:26"
